"","Island","Species","Year","COUNT","CUM_FREQ","No_specimen_year"
"2147","North","Aristea ecklonii",1972,4,9,218
"2466","North","Aristea ecklonii",1975,3,12,253
"2949","North","Aristea ecklonii",1980,1,13,150
"3089","North","Aristea ecklonii",1981,1,14,158
"4276","North","Aristea ecklonii",1997,1,15,69
"380","North","Arum italicum",1945,1,1,59
"569","North","Arum italicum",1950,1,2,81
"713","North","Arum italicum",1953,2,4,129
"957","North","Arum italicum",1958,1,5,191
"1034","North","Arum italicum",1959,2,7,157
"1237","North","Arum italicum",1962,2,9,124
"1629","North","Arum italicum",1967,1,10,85
"1769","North","Arum italicum",1969,1,11,136
"2031","North","Arum italicum",1972,3,14,218
"2348","North","Arum italicum",1974,1,15,142
"2430","North","Arum italicum",1975,1,16,253
"3059","North","Arum italicum",1981,1,17,158
"3715","North","Arum italicum",1989,2,19,92
"4293","North","Arum italicum",1997,1,20,69
"500","North","Arundo donax",1949,1,1,59
"902","North","Arundo donax",1957,1,2,88
"1830","North","Arundo donax",1970,1,3,283
"2476","North","Arundo donax",1975,1,4,253
"2562","North","Arundo donax",1976,1,5,158
"2889","North","Arundo donax",1979,3,8,156
"3057","North","Arundo donax",1981,1,9,158
"3765","North","Arundo donax",1990,1,10,80
"3835","North","Arundo donax",1991,3,13,114
"3989","North","Arundo donax",1993,2,15,143
"4659","North","Arundo donax",2006,5,20,20
"529","North","Asparagus asparagoides",1950,2,2,81
"1168","North","Asparagus asparagoides",1961,2,4,134
"1497","North","Asparagus asparagoides",1966,2,6,101
"1836","North","Asparagus asparagoides",1970,1,7,283
"2365","North","Asparagus asparagoides",1975,2,9,253
"2674","North","Asparagus asparagoides",1977,1,10,299
"3086","North","Asparagus asparagoides",1981,1,11,158
"3609","North","Asparagus asparagoides",1987,2,13,171
"3659","North","Asparagus asparagoides",1988,2,15,128
"3807","North","Asparagus asparagoides",1990,2,17,80
"3856","North","Asparagus asparagoides",1991,2,19,114
"3892","North","Asparagus asparagoides",1992,1,20,118
"4052","North","Asparagus asparagoides",1993,1,21,143
"4295","North","Asparagus asparagoides",1997,1,22,69
"4554","North","Asparagus asparagoides",2002,1,23,37
"1062","North","Asparagus scandens",1959,2,2,157
"1137","North","Asparagus scandens",1961,1,3,134
"1285","North","Asparagus scandens",1963,1,4,200
"1915","North","Asparagus scandens",1970,1,5,283
"2083","North","Asparagus scandens",1972,3,8,218
"2293","North","Asparagus scandens",1974,1,9,142
"2567","North","Asparagus scandens",1976,1,10,158
"3078","North","Asparagus scandens",1981,2,12,158
"3243","North","Asparagus scandens",1983,1,13,76
"3608","North","Asparagus scandens",1987,1,14,171
"3956","North","Asparagus scandens",1992,1,15,118
"4183","North","Asparagus scandens",1995,1,16,48
"4416","North","Asparagus scandens",1999,1,17,78
"4510","North","Asparagus scandens",2001,1,18,47
"4614","North","Asparagus scandens",2004,1,19,39
"4635","North","Asparagus scandens",2005,1,20,35
"1499","North","Azolla pinnata",1966,1,1,101
"1785","North","Azolla pinnata",1969,2,3,136
"1827","North","Azolla pinnata",1970,3,6,283
"1945","North","Azolla pinnata",1971,3,9,182
"2071","North","Azolla pinnata",1972,3,12,218
"2161","North","Azolla pinnata",1973,1,13,261
"2921","North","Azolla pinnata",1979,1,14,156
"3265","North","Azolla pinnata",1984,1,15,131
"3565","North","Azolla pinnata",1987,2,17,171
"3664","North","Azolla pinnata",1988,6,23,128
"4011","North","Azolla pinnata",1993,1,24,143
"3542","North","Banksia integrifolia",1987,1,1,171
"3848","North","Banksia integrifolia",1991,11,12,114
"3924","North","Banksia integrifolia",1992,6,18,118
"4178","North","Banksia integrifolia",1995,2,20,48
"4383","North","Banksia integrifolia",1999,1,21,78
"4483","North","Banksia integrifolia",2000,1,22,72
"4543","North","Banksia integrifolia",2002,2,24,37
"4630","North","Banksia integrifolia",2005,1,25,35
"4675","North","Banksia integrifolia",2007,1,26,15
"251","North","Berberis darwinii",1940,1,1,36
"393","North","Berberis darwinii",1945,1,2,59
"444","North","Berberis darwinii",1947,1,3,43
"1655","North","Berberis darwinii",1968,1,4,139
"2067","North","Berberis darwinii",1972,1,5,218
"2344","North","Berberis darwinii",1974,1,6,142
"2376","North","Berberis darwinii",1975,2,8,253
"2594","North","Berberis darwinii",1976,1,9,158
"2704","North","Berberis darwinii",1977,2,11,299
"3799","North","Berberis darwinii",1990,1,12,80
"3992","North","Berberis darwinii",1993,1,13,143
"4122","North","Berberis darwinii",1994,1,14,158
"4185","North","Berberis darwinii",1995,1,15,48
"4232","North","Berberis darwinii",1996,1,16,78
"354","North","Berberis glaucocarpa",1944,1,1,34
"479","North","Berberis glaucocarpa",1948,1,2,29
"995","North","Berberis glaucocarpa",1958,1,3,191
"1704","North","Berberis glaucocarpa",1968,1,4,139
"2416","North","Berberis glaucocarpa",1975,4,8,253
"2596","North","Berberis glaucocarpa",1977,2,10,299
"2852","North","Berberis glaucocarpa",1979,1,11,156
"3442","North","Berberis glaucocarpa",1986,1,12,114
"3697","North","Berberis glaucocarpa",1989,1,13,92
"4225","North","Berberis glaucocarpa",1996,1,14,78
"20","North","Bidens frondosa",1900,1,1,6
"36","North","Bidens frondosa",1913,1,2,3
"69","North","Bidens frondosa",1922,1,3,8
"79","North","Bidens frondosa",1925,1,4,5
"81","North","Bidens frondosa",1926,2,6,5
"161","North","Bidens frondosa",1934,1,7,13
"188","North","Bidens frondosa",1937,1,8,30
"228","North","Bidens frondosa",1939,1,9,29
"366","North","Bidens frondosa",1945,1,10,59
"462","North","Bidens frondosa",1948,2,12,29
"578","North","Bidens frondosa",1951,1,13,58
"608","North","Bidens frondosa",1952,1,14,63
"692","North","Bidens frondosa",1953,5,19,129
"853","North","Bidens frondosa",1956,1,20,94
"915","North","Bidens frondosa",1957,1,21,88
"936","North","Bidens frondosa",1958,8,29,191
"1035","North","Bidens frondosa",1959,1,30,157
"1081","North","Bidens frondosa",1960,1,31,43
"1189","North","Bidens frondosa",1962,1,32,124
"1310","North","Bidens frondosa",1963,3,35,200
"1506","North","Bidens frondosa",1966,1,36,101
"1598","North","Bidens frondosa",1967,1,37,85
"1639","North","Bidens frondosa",1968,1,38,139
"1817","North","Bidens frondosa",1970,1,39,283
"2066","North","Bidens frondosa",1972,3,42,218
"2235","North","Bidens frondosa",1973,1,43,261
"2332","North","Bidens frondosa",1974,1,44,142
"2368","North","Bidens frondosa",1975,3,47,253
"2516","North","Bidens frondosa",1976,1,48,158
"2746","North","Bidens frondosa",1977,2,50,299
"2876","North","Bidens frondosa",1979,1,51,156
"3204","North","Bidens frondosa",1982,1,52,130
"3566","North","Bidens frondosa",1987,1,53,171
"4001","North","Bidens frondosa",1993,1,54,143
"849","North","Bromus tectorum",1956,1,1,94
"402","North","Buddleja davidii",1945,1,1,59
"652","North","Buddleja davidii",1953,1,2,129
"974","North","Buddleja davidii",1958,1,3,191
"1138","North","Buddleja davidii",1961,1,4,134
"1289","North","Buddleja davidii",1963,5,9,200
"1587","North","Buddleja davidii",1967,1,10,85
"1652","North","Buddleja davidii",1968,2,12,139
"2065","North","Buddleja davidii",1972,1,13,218
"2443","North","Buddleja davidii",1975,3,16,253
"2621","North","Buddleja davidii",1977,2,18,299
"2851","North","Buddleja davidii",1979,1,19,156
"2955","North","Buddleja davidii",1980,1,20,150
"3470","North","Buddleja davidii",1986,1,21,114
"3831","North","Buddleja davidii",1991,2,23,114
"32","North","Calluna vulgaris",1909,1,1,3
"151","North","Calluna vulgaris",1932,1,2,10
"200","North","Calluna vulgaris",1937,1,3,30
"410","North","Calluna vulgaris",1946,1,4,24
"470","North","Calluna vulgaris",1948,2,6,29
"694","North","Calluna vulgaris",1953,1,7,129
"1205","North","Calluna vulgaris",1962,2,9,124
"1759","North","Calluna vulgaris",1969,1,10,136
"1829","North","Calluna vulgaris",1970,1,11,283
"1961","North","Calluna vulgaris",1971,1,12,182
"2185","North","Calluna vulgaris",1973,1,13,261
"3376","North","Calluna vulgaris",1985,1,14,153
"3500","North","Calluna vulgaris",1986,1,15,114
"3712","North","Calluna vulgaris",1989,2,17,92
"4118","North","Calluna vulgaris",1994,1,18,158
"522","North","Calystegia silvatica",1949,1,1,59
"678","North","Calystegia silvatica",1953,2,3,129
"1900","North","Calystegia silvatica",1970,4,7,283
"2901","North","Calystegia silvatica",1979,1,8,156
"3431","North","Calystegia silvatica",1985,1,9,153
"3589","North","Calystegia silvatica",1987,1,10,171
"3752","North","Calystegia silvatica",1989,1,11,92
"4414","North","Calystegia silvatica",1999,1,12,78
"4655","North","Calystegia silvatica",2005,1,13,35
"111","North","Carduus nutans",1928,1,1,44
"265","North","Carduus nutans",1940,1,2,36
"306","North","Carduus nutans",1942,1,3,25
"324","North","Carduus nutans",1943,1,4,25
"517","North","Carduus nutans",1949,1,5,59
"528","North","Carduus nutans",1950,2,7,81
"803","North","Carduus nutans",1955,1,8,64
"975","North","Carduus nutans",1958,1,9,191
"1153","North","Carduus nutans",1961,1,10,134
"1217","North","Carduus nutans",1962,1,11,124
"1656","North","Carduus nutans",1968,1,12,139
"1843","North","Carduus nutans",1970,7,19,283
"1998","North","Carduus nutans",1971,5,24,182
"2186","North","Carduus nutans",1973,1,25,261
"2294","North","Carduus nutans",1974,1,26,142
"2388","North","Carduus nutans",1975,3,29,253
"2491","North","Carduus nutans",1976,1,30,158
"2675","North","Carduus nutans",1977,1,31,299
"2759","North","Carduus nutans",1978,1,32,125
"2918","North","Carduus nutans",1979,4,36,156
"3151","North","Carduus nutans",1982,1,37,130
"3226","North","Carduus nutans",1983,1,38,76
"3498","North","Carduus nutans",1986,1,39,114
"3985","North","Carduus nutans",1993,1,40,143
"428","North","Carex flacca",1947,1,1,43
"3208","North","Carex flacca",1983,2,3,76
"3426","North","Carex flacca",1985,1,4,153
"3639","North","Carex flacca",1988,1,5,128
"3955","North","Carex flacca",1992,1,6,118
"4151","North","Carex flacca",1995,1,7,48
"4298","North","Carex flacca",1997,1,8,69
"4625","North","Carex flacca",2004,1,9,39
"3790","North","Carex ovalis",1990,1,1,80
"4136","North","Carex ovalis",1994,1,2,158
"2285","North","Carpobrotus edulis",1974,1,1,142
"2358","North","Carpobrotus edulis",1975,1,2,253
"2694","North","Carpobrotus edulis",1977,1,3,299
"3745","North","Carpobrotus edulis",1989,1,4,92
"3814","North","Carpobrotus edulis",1990,1,5,80
"4010","North","Carpobrotus edulis",1993,1,6,143
"4077","North","Carpobrotus edulis",1994,1,7,158
"3733","North","Celastrus orbiculatus",1989,2,2,92
"3880","North","Celastrus orbiculatus",1991,1,3,114
"4177","North","Celastrus orbiculatus",1995,1,4,48
"4202","North","Celastrus orbiculatus",1996,1,5,78
"4340","North","Celastrus orbiculatus",1998,1,6,68
"4420","North","Celastrus orbiculatus",1999,3,9,78
"4452","North","Celastrus orbiculatus",2000,3,12,72
"4651","North","Celastrus orbiculatus",2005,2,14,35
"4669","North","Celastrus orbiculatus",2006,1,15,20
"266","North","Chamaecytisus palmensis",1940,1,1,36
"751","North","Chamaecytisus palmensis",1954,1,2,83
"805","North","Chamaecytisus palmensis",1955,1,3,64
"924","North","Chamaecytisus palmensis",1958,1,4,191
"1020","North","Chamaecytisus palmensis",1959,1,5,157
"1562","North","Chamaecytisus palmensis",1966,1,6,101
"2286","North","Chamaecytisus palmensis",1974,2,8,142
"2553","North","Chamaecytisus palmensis",1976,1,9,158
"2679","North","Chamaecytisus palmensis",1977,2,11,299
"2910","North","Chamaecytisus palmensis",1979,1,12,156
"2989","North","Chamaecytisus palmensis",1980,3,15,150
"3167","North","Chamaecytisus palmensis",1982,1,16,130
"3242","North","Chamaecytisus palmensis",1983,1,17,76
"3580","North","Chamaecytisus palmensis",1987,1,18,171
"4013","North","Chamaecytisus palmensis",1993,1,19,143
"4589","North","Chamaecytisus palmensis",2003,1,20,56
"73","North","Chrysanthemoides monilifera",1924,1,1,2
"109","North","Chrysanthemoides monilifera",1928,3,4,44
"1253","North","Chrysanthemoides monilifera",1962,1,5,124
"2118","North","Chrysanthemoides monilifera",1972,3,8,218
"2229","North","Chrysanthemoides monilifera",1973,2,10,261
"2434","North","Chrysanthemoides monilifera",1975,1,11,253
"2687","North","Chrysanthemoides monilifera",1977,2,13,299
"3062","North","Chrysanthemoides monilifera",1981,1,14,158
"3150","North","Chrysanthemoides monilifera",1982,1,15,130
"3250","North","Chrysanthemoides monilifera",1983,1,16,76
"3819","North","Chrysanthemoides monilifera",1990,2,18,80
"3943","North","Chrysanthemoides monilifera",1992,2,20,118
"4119","North","Chrysanthemoides monilifera",1994,1,21,158
"4316","North","Chrysanthemoides monilifera",1998,1,22,68
"4390","North","Chrysanthemoides monilifera",1999,1,23,78
"4627","North","Chrysanthemoides monilifera",2004,1,24,39
"163","North","Cirsium arvense",1934,1,1,13
"426","North","Cirsium arvense",1947,1,2,43
"1122","North","Cirsium arvense",1961,1,3,134
"1313","North","Cirsium arvense",1963,1,4,200
"2239","North","Cirsium arvense",1973,1,5,261
"2487","North","Cirsium arvense",1975,3,8,253
"2575","North","Cirsium arvense",1976,1,9,158
"2723","North","Cirsium arvense",1977,3,12,299
"2850","North","Cirsium arvense",1979,1,13,156
"3468","North","Cirsium arvense",1986,2,15,114
"3595","North","Cirsium arvense",1987,1,16,171
"3631","North","Cirsium arvense",1988,1,17,128
"124","North","Cirsium palustre",1929,1,1,28
"156","North","Cirsium palustre",1933,1,2,4
"357","North","Cirsium palustre",1944,1,3,34
"362","North","Cirsium palustre",1945,1,4,59
"408","North","Cirsium palustre",1946,1,5,24
"437","North","Cirsium palustre",1947,1,6,43
"508","North","Cirsium palustre",1949,1,7,59
"591","North","Cirsium palustre",1951,1,8,58
"703","North","Cirsium palustre",1953,2,10,129
"911","North","Cirsium palustre",1957,1,11,88
"1084","North","Cirsium palustre",1960,2,13,43
"1309","North","Cirsium palustre",1963,1,14,200
"1481","North","Cirsium palustre",1965,2,16,92
"1545","North","Cirsium palustre",1966,1,17,101
"1597","North","Cirsium palustre",1967,2,19,85
"1650","North","Cirsium palustre",1968,1,20,139
"1965","North","Cirsium palustre",1971,1,21,182
"2068","North","Cirsium palustre",1972,2,23,218
"2241","North","Cirsium palustre",1973,2,25,261
"2366","North","Cirsium palustre",1975,2,27,253
"2649","North","Cirsium palustre",1977,2,29,299
"2870","North","Cirsium palustre",1979,1,30,156
"3991","North","Cirsium palustre",1993,1,31,143
"26","North","Cirsium vulgare",1907,1,1,3
"61","North","Cirsium vulgare",1921,1,2,10
"130","North","Cirsium vulgare",1929,1,3,28
"169","North","Cirsium vulgare",1934,1,4,13
"514","North","Cirsium vulgare",1949,1,5,59
"626","North","Cirsium vulgare",1952,1,6,63
"999","North","Cirsium vulgare",1958,1,7,191
"1115","North","Cirsium vulgare",1960,1,8,43
"1299","North","Cirsium vulgare",1963,1,9,200
"1460","North","Cirsium vulgare",1965,3,12,92
"1691","North","Cirsium vulgare",1968,4,16,139
"1857","North","Cirsium vulgare",1970,1,17,283
"1987","North","Cirsium vulgare",1971,2,19,182
"2133","North","Cirsium vulgare",1972,1,20,218
"2156","North","Cirsium vulgare",1973,3,23,261
"2385","North","Cirsium vulgare",1975,3,26,253
"2558","North","Cirsium vulgare",1976,1,27,158
"2669","North","Cirsium vulgare",1977,3,30,299
"2775","North","Cirsium vulgare",1978,1,31,125
"2950","North","Cirsium vulgare",1980,1,32,150
"3462","North","Cirsium vulgare",1986,1,33,114
"3538","North","Cirsium vulgare",1987,1,34,171
"3922","North","Cirsium vulgare",1992,1,35,118
"3993","North","Cirsium vulgare",1993,1,36,143
"176","North","Clematis vitalba",1935,1,1,7
"269","North","Clematis vitalba",1941,1,2,43
"318","North","Clematis vitalba",1943,1,3,25
"385","North","Clematis vitalba",1945,1,4,59
"920","North","Clematis vitalba",1958,1,5,191
"1318","North","Clematis vitalba",1963,1,6,200
"1781","North","Clematis vitalba",1969,1,7,136
"1978","North","Clematis vitalba",1971,1,8,182
"2403","North","Clematis vitalba",1975,2,10,253
"2734","North","Clematis vitalba",1977,1,11,299
"2868","North","Clematis vitalba",1979,2,13,156
"3197","North","Clematis vitalba",1982,1,14,130
"3261","North","Clematis vitalba",1984,2,16,131
"3436","North","Clematis vitalba",1985,14,30,153
"3447","North","Clematis vitalba",1986,1,31,114
"3604","North","Clematis vitalba",1987,2,33,171
"3732","North","Clematis vitalba",1989,1,34,92
"4401","North","Clematis vitalba",1999,1,35,78
"4513","North","Clematis vitalba",2001,1,36,47
"459","North","Cobaea scandens",1948,1,1,29
"743","North","Cobaea scandens",1954,1,2,83
"1113","North","Cobaea scandens",1960,1,3,43
"1269","North","Cobaea scandens",1963,1,4,200
"2781","North","Cobaea scandens",1978,1,5,125
"2929","North","Cobaea scandens",1980,3,8,150
"3047","North","Cobaea scandens",1981,1,9,158
"3380","North","Cobaea scandens",1985,1,10,153
"3737","North","Cobaea scandens",1989,3,13,92
"3782","North","Cobaea scandens",1990,2,15,80
"3860","North","Cobaea scandens",1991,1,16,114
"4005","North","Cobaea scandens",1993,3,19,143
"4291","North","Cobaea scandens",1997,1,20,69
"4355","North","Cobaea scandens",1998,1,21,68
"2979","North","Conium maculatum",1980,1,1,150
"3372","North","Conium maculatum",1985,1,2,153
"3899","North","Conium maculatum",1992,1,3,118
"3209","North","Convolvulus arvensis",1983,2,2,76
"4167","North","Convolvulus arvensis",1995,1,3,48
"4586","North","Convolvulus arvensis",2003,1,4,56
"118","North","Cortaderia selloana",1929,1,1,28
"1092","North","Cortaderia selloana",1960,1,2,43
"1227","North","Cortaderia selloana",1962,1,3,124
"1383","North","Cortaderia selloana",1964,1,4,104
"1568","North","Cortaderia selloana",1967,3,7,85
